 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  2.40E-01   6.59E-08   1.66E-08   1.66E-08
  2.45E-01   6.53E-08   1.64E-08   1.63E-08
  2.51E-01   6.48E-08   1.62E-08   1.61E-08
  2.57E-01   6.42E-08   1.60E-08   1.60E-08
  2.63E-01   6.37E-08   1.58E-08   1.58E-08
  2.69E-01   6.31E-08   1.56E-08   1.56E-08
  2.75E-01   6.26E-08   1.54E-08   1.54E-08
  2.82E-01   6.21E-08   1.53E-08   1.52E-08
  2.88E-01   6.17E-08   1.51E-08   1.51E-08
  2.95E-01   6.12E-08   1.50E-08   1.49E-08
  3.02E-01   6.07E-08   1.48E-08   1.48E-08
  3.09E-01   6.03E-08   1.47E-08   1.46E-08
  3.16E-01   5.99E-08   1.45E-08   1.45E-08
  3.24E-01   5.94E-08   1.44E-08   1.44E-08
  3.31E-01   5.90E-08   1.43E-08   1.43E-08
  3.39E-01   5.86E-08   1.42E-08   1.42E-08
  3.47E-01   5.82E-08   1.41E-08   1.41E-08
  3.55E-01   5.78E-08   1.41E-08   1.40E-08
  3.63E-01   5.74E-08   1.40E-08   1.39E-08
  3.72E-01   5.70E-08   1.39E-08   1.39E-08
