 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  6.61E-02   9.97E-07   2.96E-07   2.95E-07
  6.76E-02   9.83E-07   2.91E-07   2.90E-07
  6.92E-02   9.69E-07   2.86E-07   2.85E-07
  7.08E-02   9.55E-07   2.81E-07   2.80E-07
  7.24E-02   9.42E-07   2.76E-07   2.75E-07
  7.41E-02   9.30E-07   2.72E-07   2.71E-07
  7.59E-02   9.17E-07   2.67E-07   2.66E-07
  7.76E-02   9.05E-07   2.63E-07   2.62E-07
  7.94E-02   8.93E-07   2.59E-07   2.58E-07
  8.13E-02   8.82E-07   2.55E-07   2.54E-07
  8.32E-02   8.71E-07   2.51E-07   2.50E-07
  8.51E-02   8.61E-07   2.47E-07   2.46E-07
  8.71E-02   8.50E-07   2.43E-07   2.42E-07
  8.91E-02   8.40E-07   2.40E-07   2.39E-07
  9.12E-02   8.31E-07   2.36E-07   2.35E-07
  9.33E-02   8.21E-07   2.33E-07   2.32E-07
  9.55E-02   8.12E-07   2.30E-07   2.29E-07
  9.77E-02   8.03E-07   2.27E-07   2.26E-07
  1.00E-01   7.95E-07   2.24E-07   2.23E-07
  1.02E-01   7.86E-07   2.20E-07   2.19E-07
  1.05E-01   7.78E-07   2.16E-07   2.15E-07
  1.07E-01   7.70E-07   2.13E-07   2.12E-07
  1.10E-01   7.61E-07   2.09E-07   2.08E-07
  1.12E-01   7.53E-07   2.06E-07   2.05E-07
  1.15E-01   7.45E-07   2.02E-07   2.02E-07
  1.17E-01   7.38E-07   1.99E-07   1.98E-07
  1.20E-01   7.30E-07   1.96E-07   1.95E-07
  1.23E-01   7.22E-07   1.92E-07   1.92E-07
  1.26E-01   7.14E-07   1.89E-07   1.89E-07
  1.29E-01   7.07E-07   1.86E-07   1.85E-07
  1.32E-01   6.99E-07   1.83E-07   1.82E-07
  1.35E-01   6.92E-07   1.80E-07   1.79E-07
  1.38E-01   6.85E-07   1.77E-07   1.76E-07
  1.41E-01   6.78E-07   1.74E-07   1.73E-07
  1.45E-01   6.70E-07   1.71E-07   1.71E-07
  1.48E-01   6.63E-07   1.68E-07   1.68E-07
  1.51E-01   6.56E-07   1.65E-07   1.65E-07
  1.55E-01   6.50E-07   1.63E-07   1.62E-07
  1.58E-01   6.43E-07   1.60E-07   1.60E-07
  1.62E-01   6.36E-07   1.57E-07   1.57E-07
  1.66E-01   6.30E-07   1.55E-07   1.54E-07
  1.70E-01   6.23E-07   1.52E-07   1.52E-07
  1.74E-01   6.17E-07   1.50E-07   1.49E-07
  1.78E-01   6.11E-07   1.47E-07   1.47E-07
  1.82E-01   6.04E-07   1.45E-07   1.44E-07
  1.86E-01   5.98E-07   1.42E-07   1.42E-07
  1.91E-01   5.92E-07   1.40E-07   1.40E-07
  1.95E-01   5.86E-07   1.38E-07   1.38E-07
  2.00E-01   5.81E-07   1.36E-07   1.35E-07
  2.04E-01   5.75E-07   1.33E-07   1.33E-07
  2.09E-01   5.69E-07   1.31E-07   1.31E-07
  2.14E-01   5.64E-07   1.29E-07   1.29E-07
  2.19E-01   5.59E-07   1.27E-07   1.27E-07
  2.24E-01   5.53E-07   1.25E-07   1.25E-07
  2.29E-01   5.48E-07   1.23E-07   1.23E-07
  2.34E-01   5.43E-07   1.21E-07   1.21E-07
  2.40E-01   5.38E-07   1.20E-07   1.19E-07
  2.45E-01   5.34E-07   1.18E-07   1.17E-07
  2.51E-01   5.29E-07   1.16E-07   1.16E-07
  2.57E-01   5.24E-07   1.14E-07   1.14E-07
  2.63E-01   5.20E-07   1.13E-07   1.12E-07
  2.69E-01   5.15E-07   1.11E-07   1.11E-07
  2.75E-01   5.11E-07   1.09E-07   1.09E-07
  2.82E-01   5.07E-07   1.08E-07   1.08E-07
  2.88E-01   5.03E-07   1.06E-07   1.06E-07
  2.95E-01   4.99E-07   1.05E-07   1.05E-07
  3.02E-01   4.95E-07   1.03E-07   1.03E-07
  3.09E-01   4.92E-07   1.02E-07   1.02E-07
  3.16E-01   4.88E-07   1.01E-07   1.01E-07
  3.24E-01   4.85E-07   9.94E-08   9.93E-08
  3.31E-01   4.81E-07   9.81E-08   9.80E-08
  3.39E-01   4.78E-07   9.69E-08   9.67E-08
  3.47E-01   4.75E-07   9.56E-08   9.55E-08
  3.55E-01   4.71E-07   9.44E-08   9.43E-08
  3.63E-01   4.68E-07   9.32E-08   9.31E-08
  3.72E-01   4.65E-07   9.21E-08   9.19E-08
